17/08/2021 09:28:57 3.36  109.21 29.81 110.81 8.46

17/08/2021 09:29:01 3.34  109.16 29.73 110.81 8.48

17/08/2021 09:29:05 3.12  109.16 29.76 110.81 8.48

17/08/2021 09:29:09 3.35  109.12 29.76 110.81 8.48

17/08/2021 09:29:14 2.58  109.16 29.76 110.81 8.39

17/08/2021 09:29:18 3.34  109.21 29.76 110.81 8.43

17/08/2021 09:29:22 3.35  109.21 29.78 110.81 8.39

17/08/2021 09:29:26 2.36  109.31 29.67 110.81 8.41

17/08/2021 09:29:30 3.34  109.26 29.73 110.81 8.46

17/08/2021 09:29:34 3.33  109.26 29.78 110.86 8.43

17/08/2021 09:29:38 2.92  109.07 29.76 110.81 8.43

17/08/2021 09:29:42 3.34  109.31 29.81 110.81 8.48

17/08/2021 09:29:46 2.80  109.16 29.81 110.81 8.43

17/08/2021 09:29:50 3.34  109.21 29.76 110.81 8.46

17/08/2021 09:29:54 3.33  109.31 29.73 110.81 8.48

17/08/2021 09:29:58 2.41  109.16 29.78 110.81 8.46

17/08/2021 09:30:02 3.34  109.16 29.76 110.81 8.46

17/08/2021 09:30:06 3.34  109.16 29.76 110.81 8.50

17/08/2021 09:30:10 2.37  109.21 29.78 110.81 8.48

17/08/2021 09:30:14 3.34  109.16 29.73 110.81 8.43

17/08/2021 09:30:18 3.34  109.26 29.76 110.81 8.46

17/08/2021 09:30:22 2.56  109.26 29.78 110.81 8.43

17/08/2021 09:30:26 3.34  109.21 29.81 110.81 8.46

17/08/2021 09:30:31 3.35  109.21 29.84 110.86 8.46

17/08/2021 09:30:35 2.37  109.26 29.78 110.81 8.43

17/08/2021 09:30:39 3.34  109.31 29.78 110.81 8.43

17/08/2021 09:30:43 3.33  109.16 29.78 110.81 8.43

17/08/2021 09:30:47 2.95  109.21 29.76 110.81 8.43

17/08/2021 09:30:51 3.15  109.26 29.78 110.81 8.48

17/08/2021 09:30:55 3.37  109.26 29.78 110.81 8.43

17/08/2021 09:30:59 2.84  109.21 29.76 110.86 8.41

17/08/2021 09:31:03 3.22  109.26 29.81 110.47 8.43

17/08/2021 09:31:07 3.33  109.21 29.76 110.42 8.46

17/08/2021 09:31:11 2.81  109.26 29.78 109.41 8.43

17/08/2021 09:31:15 3.18  109.21 29.76 110.57 8.46

17/08/2021 09:31:19 3.34  108.92 29.81 110.03 8.48

17/08/2021 09:31:23 2.78  108.92 29.76 111.20 8.50

17/08/2021 09:31:27 3.34  108.88 29.78 111.59 8.48

17/08/2021 09:31:31 3.34  108.92 29.78 111.34 8.53

17/08/2021 09:31:35 2.47  108.88 29.76 110.81 8.50

17/08/2021 09:31:39 3.33  108.92 29.78 110.95 8.48

17/08/2021 09:31:44 3.33  108.92 29.81 111.29 8.41

17/08/2021 09:31:48 2.56  108.92 29.87 110.81 8.46

17/08/2021 09:31:52 3.34  108.92 29.78 110.32 8.46

17/08/2021 09:31:56 3.34  108.88 29.84 110.42 8.46

17/08/2021 09:32:00 2.91  108.88 29.78 110.37 8.50

17/08/2021 09:32:04 3.22  108.92 29.81 110.32 8.48

17/08/2021 09:32:08 3.34  108.97 29.76 110.42 8.48

17/08/2021 09:32:12 3.31  108.92 29.81 110.37 8.48

17/08/2021 09:32:16 2.77  108.92 29.78 110.32 8.43

17/08/2021 09:32:20 3.35  108.92 29.81 110.32 8.46

17/08/2021 09:32:24 3.34  108.88 29.81 110.47 8.43

17/08/2021 09:32:28 2.96  108.88 29.78 110.37 8.43

17/08/2021 09:32:32 2.52  108.88 29.78 110.32 8.50

17/08/2021 09:32:36 3.35  108.97 29.84 110.32 8.46

17/08/2021 09:32:40 3.34  109.02 29.81 110.32 8.46

17/08/2021 09:32:44 3.33  108.92 29.81 110.37 8.46

17/08/2021 09:32:48 2.37  108.97 29.76 110.32 8.48

17/08/2021 09:32:52 3.36  108.92 29.76 110.37 8.50

17/08/2021 09:32:57 3.33  108.92 29.81 110.42 8.41

17/08/2021 09:33:01 3.34  108.92 29.76 110.37 8.48

17/08/2021 09:33:05 2.36  108.97 29.84 110.37 8.43

17/08/2021 11:26:01 3.75  103.21 39.87 100.91 0.22

17/08/2021 11:26:05 2.87  103.21 39.84 100.91 0.22

17/08/2021 11:26:09 3.73  103.17 39.90 100.91 0.22

17/08/2021 11:26:13 3.73  103.21 39.81 100.91 0.22

17/08/2021 11:26:17 2.84  103.21 39.81 100.91 0.22

17/08/2021 11:26:21 3.76  103.12 39.90 100.91 0.22

17/08/2021 11:26:25 3.72  103.21 39.84 100.91 0.22

17/08/2021 11:26:29 3.16  103.21 39.87 100.91 0.22

17/08/2021 11:26:33 3.31  103.21 39.90 100.91 0.22

17/08/2021 11:26:37 3.73  103.17 39.90 100.91 0.22

17/08/2021 11:26:41 3.71  103.17 39.96 100.91 0.22

17/08/2021 11:26:45 2.92  103.17 39.87 100.91 0.22

17/08/2021 11:26:49 3.58  103.17 40.02 100.91 0.22

17/08/2021 11:26:54 3.72  103.21 40.02 100.91 0.22

17/08/2021 11:26:58 3.70  103.12 40.05 100.91 0.22

17/08/2021 11:27:02 2.92  103.21 40.11 100.91 0.22

17/08/2021 11:27:06 3.26  103.17 40.05 100.91 0.22

17/08/2021 11:27:10 3.71  103.21 40.11 100.91 0.22

17/08/2021 11:27:14 3.69  103.21 40.08 100.87 0.22

17/08/2021 11:27:18 3.26  103.07 40.11 100.87 0.22

17/08/2021 11:27:22 2.82  103.17 40.14 100.91 0.22

17/08/2021 11:27:26 3.68  103.21 40.14 100.91 0.22

17/08/2021 11:27:30 3.69  103.17 40.11 100.91 0.22

17/08/2021 11:27:34 3.67  103.21 40.11 100.91 0.22

17/08/2021 11:27:38 2.79  103.21 40.11 100.91 0.22

17/08/2021 11:27:42 3.56  103.17 40.14 100.91 0.22

17/08/2021 11:27:46 3.69  103.21 40.14 100.91 0.22

17/08/2021 11:27:50 3.71  103.12 40.11 100.91 0.22

17/08/2021 11:27:54 2.75  103.12 40.14 100.91 0.22

17/08/2021 11:27:58 3.66  103.17 40.17 100.91 0.22

17/08/2021 11:28:02 3.69  103.17 40.17 100.91 0.22

17/08/2021 11:28:07 2.74  103.17 40.11 100.87 0.22

17/08/2021 11:28:11 3.67  103.17 40.23 100.91 0.22

17/08/2021 11:28:15 3.67  103.17 40.17 100.91 0.22

17/08/2021 11:28:19 3.16  103.21 40.23 100.91 0.22

17/08/2021 11:28:23 3.65  103.12 40.20 100.82 0.22

17/08/2021 11:28:27 3.08  103.17 40.20 100.91 0.22

17/08/2021 11:28:31 3.65  103.21 40.32 100.91 0.22

17/08/2021 11:28:35 3.64  103.21 40.29 100.91 0.22

17/08/2021 11:28:39 2.73  103.12 40.23 100.96 0.22

17/08/2021 11:28:43 3.68  103.17 40.41 100.91 0.22

17/08/2021 11:28:47 3.64  103.03 40.32 100.91 0.22

17/08/2021 11:28:51 3.04  103.17 40.41 100.91 0.22

17/08/2021 11:28:55 3.64  103.17 40.38 100.91 0.22

17/08/2021 11:28:59 3.29  103.17 40.38 100.91 0.22

17/08/2021 11:29:03 3.50  103.17 40.41 100.91 0.22

17/08/2021 11:29:07 3.62  103.17 40.38 100.91 0.22

17/08/2021 11:29:11 2.68  103.21 40.44 100.82 0.22

17/08/2021 11:29:15 3.63  103.12 40.47 100.91 0.22

17/08/2021 11:29:20 3.62  103.17 40.41 100.91 0.22

17/08/2021 11:29:24 3.29  103.12 40.41 100.82 0.22

17/08/2021 11:29:28 3.64  103.12 40.44 100.87 0.22

17/08/2021 11:29:32 2.87  103.07 40.41 100.91 0.22

17/08/2021 11:29:36 3.63  103.12 40.38 100.87 0.22

17/08/2021 11:29:40 3.64  103.17 40.35 100.91 0.22

17/08/2021 11:29:44 2.86  103.07 40.47 100.91 0.22

17/08/2021 11:29:48 3.61  103.21 40.47 100.87 0.22

17/08/2021 11:29:52 3.03  103.17 40.50 100.87 0.22

17/08/2021 11:29:56 3.61  103.07 40.47 100.91 0.22

17/08/2021 11:30:00 3.61  103.12 40.47 100.91 0.22

17/08/2021 11:30:04 2.75  103.12 40.53 100.91 0.22

17/08/2021 11:30:08 3.60  103.03 40.50 100.82 0.22

17/08/2021 11:30:12 3.31  103.03 40.50 100.82 0.22

17/08/2021 11:30:16 3.47  103.21 40.53 100.87 0.22

17/08/2021 11:30:20 3.62  103.12 40.53 100.91 0.22

17/08/2021 11:30:24 2.65  103.12 40.56 100.87 0.22

17/08/2021 11:30:28 3.59  103.12 40.62 100.87 0.22

17/08/2021 11:30:33 3.00  103.21 40.65 100.87 0.22

17/08/2021 11:30:37 3.63  103.17 40.71 100.91 0.22

